商品,订单数量,二级类,标签
怡宝纯净水,1342,水,畅销
东鹏特饮,488,功能饮料,畅销
阿萨姆奶茶,457,茶饮料,畅销
脉动,431,功能饮料,畅销
营养快线,425,乳制品,畅销
统一冰红茶,334,茶饮料,畅销
王老吉（500ml）,310,茶饮料,畅销
果粒橙,245,果蔬饮料,畅销
250ml维他柠檬茶,236,茶饮料,畅销
250ml维他原味豆奶,229,植物蛋白,畅销
可口可乐330ml,212,碳酸饮料,畅销
统一绿茶,209,茶饮料,畅销
王老吉（罐）,201,茶饮料,畅销
芬达330ml,198,碳酸饮料,畅销
红牛,198,功能饮料,畅销
伊利优酸乳,179,乳制品,畅销
伊利纯牛奶,175,乳制品,畅销
145ml旺仔牛奶盒装,172,乳制品,畅销
雪碧最新款,139,碳酸饮料,畅销
雪碧（500ml）,137,碳酸饮料,畅销
250ml燕塘甜牛奶,131,乳制品,畅销
250ml燕塘原味酸奶,130,乳制品,畅销
银鹭八宝粥,120,方便速食,畅销
可口可乐最新款,116,碳酸饮料,畅销
250ml燕塘红枣牛奶,114,乳制品,畅销
雪碧330ml,103,碳酸饮料,畅销
百事可乐500ml,102,碳酸饮料,畅销
250ml红牛,99,功能饮料,畅销
250ml维他奶巧克力味,95,植物蛋白,畅销
268ml雀巢咖啡丝滑拿铁,94,咖啡,正常
330ml伊利畅意乳酸菌原味,93,乳制品,正常
维他奶,93,植物蛋白,正常
450ml美汁源果粒橙,87,果蔬饮料,正常
600ml可口可乐,87,碳酸饮料,正常
维他柠檬茶,79,茶饮料,正常
500ml统一阿萨姆奶茶,78,茶饮料,正常
205g伊利安慕希原味,66,乳制品,正常
冰糖雪梨,59,果蔬饮料,正常
可口可乐（500ml）,57,碳酸饮料,正常
600ml雪碧,51,碳酸饮料,正常
100g*5瓶益力多,42,乳制品,正常
500ml加多宝,40,茶饮料,正常
480ml小茗同学冷泡青柠红茶,39,茶饮料,正常
600ml脉动青柠,38,功能饮料,正常
怡宝,38,水,正常
150g健能酸奶原味,35,乳制品,正常
茉莉蜜茶,35,茶饮料,正常
雀巢咖啡,33,咖啡,正常
250ML东鹏特饮,27,功能饮料,正常
500ml农夫果园 (芒果+菠萝+番石榴),25,果蔬饮料,正常
180ml雀巢咖啡罐装,22,咖啡,正常
美年达（罐）,22,碳酸饮料,正常
250ml王老吉盒装,21,茶饮料,正常
阿萨姆煎茶奶绿,19,茶饮料,正常
250ml维他奶低糖原味,18,植物蛋白,正常
80g香飘飘椰果奶茶原味,17,茶饮料,正常
维他原味豆奶,17,植物蛋白,正常
椰树牌椰汁,17,植物蛋白,正常
康师傅矿泉水,17,水,正常
可乐可乐,15,碳酸饮料,滞销
尖叫,15,功能饮料,滞销
250ml统一麦香奶茶,14,茶饮料,滞销
500ml营养快线原味,14,乳制品,滞销
80g香飘飘椰果奶茶麦香味,13,茶饮料,滞销
美汁源果粒橙,13,果蔬饮料,滞销
500ml康师傅冰糖雪梨,13,果蔬饮料,滞销
乐虎（380ml）,12,功能饮料,滞销
经典奶茶,12,茶饮料,滞销
250ml维他奶黑豆奶饮品,12,植物蛋白,滞销
燕塘甜牛奶,11,乳制品,滞销
安慕希酸奶,11,乳制品,滞销
燕塘红枣牛奶,9,乳制品,滞销
脉动（青柠）,9,功能饮料,滞销
健能酸奶,8,乳制品,滞销
益力多100g*5瓶,8,乳制品,滞销
乐虎,8,功能饮料,滞销
天地一号,8,果蔬饮料,滞销
雪力矿泉水,7,水,滞销
500ML宝矿力,7,功能饮料,滞销
可口可乐330ml（罐）,6,碳酸饮料,滞销
加多宝,6,茶饮料,滞销
250ml维他椰子植物蛋白饮料,6,植物蛋白,滞销
冰红茶（罐）,6,茶饮料,滞销
旺仔牛奶,6,乳制品,滞销
统一阿萨姆奶茶,6,茶饮料,滞销
芦荟汁,5,果蔬饮料,滞销
205ml安慕希蓝莓味,5,乳制品,滞销
优益C活菌型乳酸菌饮品,5,乳制品,滞销
340ml蒙牛优益C乳酸菌,5,乳制品,滞销
农夫果园,4,果蔬饮料,滞销
维他奶（巧克力味）,4,植物蛋白,滞销
480ml小茗同学冷泡溜溜哒茶,4,茶饮料,滞销
燕塘原味酸奶,4,乳制品,滞销
珠江纯生啤酒,4,功能饮料,滞销
旺仔牛奶145ml,4,乳制品,滞销
百事可乐330ml,4,碳酸饮料,滞销
维他柠檬茶330ml（罐）,3,茶饮料,滞销
13g雀巢咖啡1+2特浓,3,咖啡,滞销
145ml旺仔牛奶罐装,3,乳制品,滞销
雪碧,3,碳酸饮料,滞销
怡宝矿泉水,3,水,滞销
330ml伊利畅意乳酸菌草莓味,2,乳制品,滞销
250ml香满楼纯牛奶,2,乳制品,滞销
商品2,2,其他,滞销
小茗同学,2,茶饮料,滞销
商品1,2,其他,滞销
小茗同学（青柠红茶）,2,茶饮料,滞销
500ml统一冰糖雪梨,2,果蔬饮料,滞销
250ml维他椰子植物蛋白饮料9374,1,植物蛋白,滞销
小茗同学冷泡茶（乳酸菌味）,1,茶饮料,滞销
娃哈哈红枣酸奶,1,乳制品,滞销
拿铁咖啡（统一）,1,咖啡,滞销
脉动（椰子菠萝口味）,1,功能饮料,滞销
500ml恒大冰泉矿泉水,1,水,滞销
商品14,1,其他,滞销
