商品,订单数量,二级类,标签
怡宝纯净水,999,水,畅销
脉动,759,功能饮料,畅销
东鹏特饮,525,功能饮料,畅销
阿萨姆奶茶,456,茶饮料,畅销
营养快线,435,乳制品,畅销
王老吉（罐）,402,茶饮料,畅销
统一冰红茶,394,茶饮料,畅销
果粒橙,328,果蔬饮料,畅销
芬达330ml,271,碳酸饮料,畅销
雪碧最新款,259,碳酸饮料,畅销
伊利优酸乳,258,乳制品,畅销
250ml维他柠檬茶,255,茶饮料,畅销
统一绿茶,246,茶饮料,畅销
王老吉（500ml）,238,茶饮料,畅销
红牛,231,功能饮料,畅销
可口可乐330ml,219,碳酸饮料,畅销
250ml维他原味豆奶,217,植物蛋白,畅销
怡宝,182,水,畅销
银鹭八宝粥,166,方便速食,畅销
250ml燕塘原味酸奶,134,乳制品,畅销
250ml燕塘红枣牛奶,129,乳制品,畅销
250ml燕塘甜牛奶,129,乳制品,畅销
伊利纯牛奶,127,乳制品,畅销
145ml旺仔牛奶盒装,127,乳制品,畅销
可口可乐最新款,125,碳酸饮料,畅销
250ml红牛,119,功能饮料,畅销
268ml雀巢咖啡丝滑拿铁,95,咖啡,畅销
雪碧（500ml）,82,碳酸饮料,畅销
500ml统一阿萨姆奶茶,80,茶饮料,畅销
维他奶,79,植物蛋白,正常
阿萨姆煎茶奶绿,76,茶饮料,正常
维他柠檬茶,73,茶饮料,正常
茉莉蜜茶,70,茶饮料,正常
雪碧330ml,70,碳酸饮料,正常
600ml雪碧,69,碳酸饮料,正常
330ml伊利畅意乳酸菌原味,66,乳制品,正常
450ml美汁源果粒橙,61,果蔬饮料,正常
可口可乐（500ml）,60,碳酸饮料,正常
冰糖雪梨,59,果蔬饮料,正常
600ml可口可乐,57,碳酸饮料,正常
250ml维他奶巧克力味,53,植物蛋白,正常
500ml加多宝,52,茶饮料,正常
205g伊利安慕希原味,51,乳制品,正常
600ml脉动青柠,41,功能饮料,正常
维他原味豆奶,39,植物蛋白,正常
480ml小茗同学冷泡青柠红茶,37,茶饮料,正常
150g健能酸奶原味,37,乳制品,正常
100g*5瓶益力多,33,乳制品,正常
500ml农夫果园 (芒果+菠萝+番石榴),33,果蔬饮料,正常
乐虎,31,功能饮料,正常
雀巢咖啡,30,咖啡,正常
燕塘原味酸奶,29,乳制品,正常
可乐可乐,29,碳酸饮料,正常
250ml维他奶低糖原味,26,植物蛋白,正常
美汁源果粒橙,26,果蔬饮料,正常
椰树牌椰汁,24,植物蛋白,正常
康师傅矿泉水,24,水,正常
500ml康师傅冰糖雪梨,24,果蔬饮料,正常
250ml统一麦香奶茶,23,茶饮料,滞销
250ml王老吉盒装,22,茶饮料,滞销
尖叫,22,功能饮料,滞销
燕塘甜牛奶,21,乳制品,滞销
250ML东鹏特饮,20,功能饮料,滞销
180ml雀巢咖啡罐装,19,咖啡,滞销
脉动（青柠）,18,功能饮料,滞销
80g香飘飘椰果奶茶麦香味,17,茶饮料,滞销
80g香飘飘椰果奶茶原味,16,茶饮料,滞销
燕塘红枣牛奶,16,乳制品,滞销
旺仔牛奶145ml,16,乳制品,滞销
百事可乐500ml,15,碳酸饮料,滞销
维他柠檬茶330ml（罐）,13,茶饮料,滞销
小茗同学,12,茶饮料,滞销
统一阿萨姆奶茶,12,茶饮料,滞销
旺仔牛奶,12,乳制品,滞销
145ml旺仔牛奶罐装,11,乳制品,滞销
250ml维他椰子植物蛋白饮料,11,植物蛋白,滞销
250ml维他椰子味豆奶7716,11,植物蛋白,滞销
维他奶（巧克力味）,10,植物蛋白,滞销
冰红茶（罐）,10,茶饮料,滞销
加多宝,10,茶饮料,滞销
雪碧,8,碳酸饮料,滞销
480ml小茗同学冷泡溜溜哒茶,8,茶饮料,滞销
美年达（罐）,7,碳酸饮料,滞销
怡宝矿泉水,7,水,滞销
农夫果园,7,果蔬饮料,滞销
乐虎（380ml）,6,功能饮料,滞销
珠江纯生啤酒,5,功能饮料,滞销
小茗同学冷泡茶（乳酸菌味）,5,茶饮料,滞销
500ml营养快线原味,5,乳制品,滞销
205ml安慕希蓝莓味,5,乳制品,滞销
13g雀巢咖啡1+2特浓,5,咖啡,滞销
500ML宝矿力,4,功能饮料,滞销
500ml统一冰糖雪梨,4,果蔬饮料,滞销
250ml香满楼纯牛奶,4,乳制品,滞销
益力多100g*5瓶,4,乳制品,滞销
安慕希酸奶,4,乳制品,滞销
可口可乐330ml（罐）,3,碳酸饮料,滞销
小茗同学（青柠红茶）,3,茶饮料,滞销
250ml维他奶黑豆奶饮品,3,植物蛋白,滞销
天地一号,3,果蔬饮料,滞销
商品2,3,其他,滞销
330ml伊利畅意乳酸菌草莓味,2,乳制品,滞销
500ml恒大冰泉矿泉水,2,水,滞销
雪力矿泉水,2,水,滞销
娃哈哈红枣酸奶,2,乳制品,滞销
优益C活菌型乳酸菌饮品,2,乳制品,滞销
拿铁咖啡（统一）,2,咖啡,滞销
健能酸奶,2,乳制品,滞销
维他奶黑豆奶饮品,2,植物蛋白,滞销
脉动（椰子菠萝口味）,2,功能饮料,滞销
百事可乐330ml,2,碳酸饮料,滞销
商品14,1,其他,滞销
芦荟汁,1,果蔬饮料,滞销
250ml维他椰子植物蛋白饮料9374,1,植物蛋白,滞销
