商品,订单数量,二级类,标签
怡宝纯净水,1705,水,畅销
脉动,996,功能饮料,畅销
营养快线,805,乳制品,畅销
阿萨姆奶茶,792,茶饮料,畅销
东鹏特饮,709,功能饮料,畅销
统一冰红茶,626,茶饮料,畅销
统一绿茶,490,茶饮料,畅销
果粒橙,470,果蔬饮料,畅销
王老吉（500ml）,417,茶饮料,畅销
王老吉（罐）,410,茶饮料,畅销
250ml维他柠檬茶,397,茶饮料,畅销
250ml维他原味豆奶,391,植物蛋白,畅销
芬达330ml,382,碳酸饮料,畅销
伊利优酸乳,375,乳制品,畅销
雪碧最新款,309,碳酸饮料,畅销
红牛,289,功能饮料,畅销
250ml燕塘原味酸奶,249,乳制品,畅销
可口可乐330ml,244,碳酸饮料,畅销
伊利纯牛奶,241,乳制品,畅销
250ml燕塘甜牛奶,232,乳制品,畅销
145ml旺仔牛奶盒装,228,乳制品,畅销
银鹭八宝粥,220,方便速食,畅销
250ml燕塘红枣牛奶,206,乳制品,畅销
可口可乐（500ml）,202,碳酸饮料,畅销
268ml雀巢咖啡丝滑拿铁,197,咖啡,畅销
雪碧330ml,173,碳酸饮料,畅销
雪碧（500ml）,172,碳酸饮料,畅销
250ml红牛,172,功能饮料,畅销
维他柠檬茶,169,茶饮料,畅销
500ml统一阿萨姆奶茶,158,茶饮料,正常
330ml伊利畅意乳酸菌原味,149,乳制品,正常
600ml可口可乐,145,碳酸饮料,正常
冰糖雪梨,143,果蔬饮料,正常
600ml雪碧,143,碳酸饮料,正常
可口可乐最新款,142,碳酸饮料,正常
450ml美汁源果粒橙,140,果蔬饮料,正常
250ml维他奶巧克力味,138,植物蛋白,正常
美年达（罐）,133,碳酸饮料,正常
维他奶,132,植物蛋白,正常
600ml脉动青柠,127,功能饮料,正常
500ml加多宝,116,茶饮料,正常
雀巢咖啡,97,咖啡,正常
维他原味豆奶,93,植物蛋白,正常
205g伊利安慕希原味,89,乳制品,正常
茉莉蜜茶,83,茶饮料,正常
480ml小茗同学冷泡青柠红茶,77,茶饮料,正常
可乐可乐,71,碳酸饮料,正常
尖叫,67,功能饮料,正常
100g*5瓶益力多,64,乳制品,正常
500ml农夫果园 (芒果+菠萝+番石榴),63,果蔬饮料,正常
150g健能酸奶原味,61,乳制品,正常
250ml维他奶低糖原味,57,植物蛋白,正常
康师傅矿泉水,54,水,正常
椰树牌椰汁,54,植物蛋白,正常
250ML东鹏特饮,49,功能饮料,正常
旺仔牛奶,47,乳制品,正常
乐虎,47,功能饮料,正常
燕塘红枣牛奶,47,乳制品,正常
加多宝,46,茶饮料,正常
脉动（青柠）,44,功能饮料,正常
芦荟汁,44,果蔬饮料,正常
250ml统一麦香奶茶,44,茶饮料,正常
维他奶（巧克力味）,41,植物蛋白,正常
燕塘甜牛奶,39,乳制品,正常
统一阿萨姆奶茶,38,茶饮料,正常
雪碧,38,碳酸饮料,正常
怡宝,37,水,正常
雪力矿泉水,35,水,正常
益力多100g*5瓶,34,乳制品,正常
旺仔牛奶145ml,29,乳制品,正常
农夫果园,29,果蔬饮料,正常
燕塘原味酸奶,29,乳制品,正常
优益C活菌型乳酸菌饮品,28,乳制品,正常
健能酸奶,27,乳制品,正常
美汁源果粒橙,27,果蔬饮料,正常
180ml雀巢咖啡罐装,24,咖啡,正常
500ml康师傅冰糖雪梨,23,果蔬饮料,滞销
145ml旺仔牛奶罐装,21,乳制品,滞销
250ml王老吉盒装,20,茶饮料,滞销
80g香飘飘椰果奶茶原味,20,茶饮料,滞销
怡宝矿泉水,19,水,滞销
480ml小茗同学冷泡溜溜哒茶,16,茶饮料,滞销
百事可乐500ml,14,碳酸饮料,滞销
250ml维他椰子植物蛋白饮料,12,植物蛋白,滞销
80g香飘飘椰果奶茶麦香味,11,茶饮料,滞销
阿萨姆煎茶奶绿,11,茶饮料,滞销
205ml安慕希蓝莓味,10,乳制品,滞销
500ml营养快线原味,10,乳制品,滞销
小茗同学,10,茶饮料,滞销
脉动（椰子菠萝口味）,9,功能饮料,滞销
500ml恒大冰泉矿泉水,9,水,滞销
拿铁咖啡（统一）,8,咖啡,滞销
500ML宝矿力,7,功能饮料,滞销
安慕希酸奶,5,乳制品,滞销
250ml维他奶黑豆奶饮品,5,植物蛋白,滞销
13g雀巢咖啡1+2特浓,4,咖啡,滞销
可口可乐330ml（罐）,3,碳酸饮料,滞销
250ml维他椰子味豆奶7716,3,植物蛋白,滞销
330ml伊利畅意乳酸菌草莓味,3,乳制品,滞销
500ml统一冰糖雪梨,3,果蔬饮料,滞销
商品1,3,其他,滞销
维他柠檬茶330ml（罐）,2,茶饮料,滞销
250ml维他椰子植物蛋白饮料9374,2,植物蛋白,滞销
340ml蒙牛优益C乳酸菌,2,乳制品,滞销
经典奶茶,2,茶饮料,滞销
乐虎（380ml）,2,功能饮料,滞销
冰红茶（罐）,2,茶饮料,滞销
百事可乐330ml,2,碳酸饮料,滞销
维他奶黑豆奶饮品,1,植物蛋白,滞销
珠江纯生啤酒,1,功能饮料,滞销
小茗同学（青柠红茶）,1,茶饮料,滞销
小茗同学冷泡茶（乳酸菌味）,1,茶饮料,滞销
商品2,1,其他,滞销
