商品,订单数量,二级类,标签
东鹏特饮,411,功能饮料,畅销
怡宝纯净水,387,水,畅销
阿萨姆奶茶,365,茶饮料,畅销
营养快线,319,乳制品,畅销
统一冰红茶,309,茶饮料,畅销
脉动,283,功能饮料,畅销
统一绿茶,188,茶饮料,畅销
红牛,180,功能饮料,畅销
雪碧最新款,178,碳酸饮料,畅销
王老吉（罐）,177,茶饮料,畅销
可口可乐（500ml）,176,碳酸饮料,畅销
果粒橙,168,果蔬饮料,畅销
可口可乐最新款,144,碳酸饮料,畅销
雪碧（500ml）,132,碳酸饮料,畅销
250ml维他柠檬茶,109,茶饮料,畅销
伊利优酸乳,102,乳制品,畅销
250ml维他原味豆奶,96,植物蛋白,畅销
王老吉（500ml）,87,茶饮料,畅销
美年达（罐）,83,碳酸饮料,畅销
银鹭八宝粥,83,方便速食,畅销
伊利纯牛奶,81,乳制品,畅销
145ml旺仔牛奶盒装,81,乳制品,畅销
250ml燕塘甜牛奶,77,乳制品,畅销
250ml燕塘原味酸奶,72,乳制品,畅销
250ml红牛,68,功能饮料,畅销
维他柠檬茶,65,茶饮料,畅销
250ml燕塘红枣牛奶,64,乳制品,畅销
600ml可口可乐,63,碳酸饮料,正常
维他奶,56,植物蛋白,正常
可口可乐330ml,54,碳酸饮料,正常
268ml雀巢咖啡丝滑拿铁,53,咖啡,正常
330ml伊利畅意乳酸菌原味,44,乳制品,正常
480ml小茗同学冷泡青柠红茶,35,茶饮料,正常
500ml统一阿萨姆奶茶,35,茶饮料,正常
600ml脉动青柠,35,功能饮料,正常
205g伊利安慕希原味,33,乳制品,正常
百事可乐330ml,32,碳酸饮料,正常
150g健能酸奶原味,31,乳制品,正常
茉莉蜜茶,31,茶饮料,正常
250ml维他奶巧克力味,29,植物蛋白,正常
180ml雀巢咖啡罐装,28,咖啡,正常
100g*5瓶益力多,25,乳制品,正常
450ml美汁源果粒橙,25,果蔬饮料,正常
250ML东鹏特饮,25,功能饮料,正常
雀巢咖啡,24,咖啡,正常
500ml加多宝,23,茶饮料,正常
雪碧330ml,19,碳酸饮料,正常
600ml雪碧,19,碳酸饮料,正常
维他原味豆奶,18,植物蛋白,正常
80g香飘飘椰果奶茶麦香味,18,茶饮料,正常
可乐可乐,18,碳酸饮料,正常
冰糖雪梨,16,果蔬饮料,正常
乐虎（380ml）,15,功能饮料,正常
阿萨姆煎茶奶绿,14,茶饮料,滞销
怡宝,14,水,滞销
250ml王老吉盒装,12,茶饮料,滞销
500ml农夫果园 (芒果+菠萝+番石榴),11,果蔬饮料,滞销
80g香飘飘椰果奶茶原味,10,茶饮料,滞销
康师傅矿泉水,10,水,滞销
芬达330ml,9,碳酸饮料,滞销
250ml维他奶低糖原味,9,植物蛋白,滞销
美汁源果粒橙,8,果蔬饮料,滞销
健能酸奶,8,乳制品,滞销
480ml小茗同学冷泡溜溜哒茶,7,茶饮料,滞销
雪力矿泉水,7,水,滞销
椰树牌椰汁,7,植物蛋白,滞销
加多宝,7,茶饮料,滞销
燕塘原味酸奶,6,乳制品,滞销
尖叫,6,功能饮料,滞销
燕塘红枣牛奶,5,乳制品,滞销
益力多100g*5瓶,5,乳制品,滞销
百事可乐500ml,5,碳酸饮料,滞销
安慕希酸奶,4,乳制品,滞销
怡宝矿泉水,4,水,滞销
500ml营养快线原味,3,乳制品,滞销
雪碧,3,碳酸饮料,滞销
250ml维他奶黑豆奶饮品,3,植物蛋白,滞销
统一阿萨姆奶茶,3,茶饮料,滞销
500ml康师傅冰糖雪梨,3,果蔬饮料,滞销
250ml维他椰子植物蛋白饮料,2,植物蛋白,滞销
250ml统一麦香奶茶,2,茶饮料,滞销
205ml安慕希蓝莓味,2,乳制品,滞销
250ml维他椰子味豆奶7716,2,植物蛋白,滞销
维他奶（巧克力味）,2,植物蛋白,滞销
乐虎,2,功能饮料,滞销
可乐（500ml）,2,碳酸饮料,滞销
商品2,2,其他,滞销
农夫果园,2,果蔬饮料,滞销
燕塘甜牛奶,2,乳制品,滞销
冰红茶（罐）,2,茶饮料,滞销
可口可乐330ml（罐）,2,碳酸饮料,滞销
500ml统一冰糖雪梨,2,果蔬饮料,滞销
旺仔牛奶,2,乳制品,滞销
145ml旺仔牛奶罐装,1,乳制品,滞销
500ml恒大冰泉矿泉水,1,水,滞销
商品1,1,其他,滞销
250ml维他椰子植物蛋白饮料9374,1,植物蛋白,滞销
250ml香满楼纯牛奶,1,乳制品,滞销
旺仔牛奶145ml,1,乳制品,滞销
芦荟汁,1,果蔬饮料,滞销
脉动（青柠）,1,功能饮料,滞销
脉动（椰子菠萝口味）,1,功能饮料,滞销
500ML宝矿力,1,功能饮料,滞销
经典奶茶,1,茶饮料,滞销
小茗同学冷泡茶（乳酸菌味）,1,茶饮料,滞销
