商品,实际金额,二级类,订单数量,标签
营养快线,1036.0,乳制品,255,畅销
100g*5瓶益力多,620.5,乳制品,40,正常
250ml燕塘甜牛奶,597.5,乳制品,126,畅销
250ml燕塘红枣牛奶,596.0,乳制品,128,畅销
250ml燕塘原味酸奶,541.0,乳制品,112,畅销
东鹏特饮,1583.5,功能饮料,448,畅销
脉动,1272.5,功能饮料,309,畅销
红牛,1016.0,功能饮料,166,畅销
250ml红牛,522.0,功能饮料,71,畅销
600ml脉动青柠,258.8,功能饮料,51,正常
268ml雀巢咖啡丝滑拿铁,569.5,咖啡,91,畅销
雀巢咖啡,241.5,咖啡,34,正常
180ml雀巢咖啡罐装,126.0,咖啡,22,正常
银鹭八宝粥,416.0,方便速食,103,畅销
果粒橙,449.0,果蔬饮料,145,畅销
450ml美汁源果粒橙,355.0,果蔬饮料,69,畅销
500ml农夫果园 (芒果+菠萝+番石榴),173.0,果蔬饮料,31,正常
冰糖雪梨,128.0,果蔬饮料,39,正常
250ml维他原味豆奶,630.1,植物蛋白,176,畅销
250ml维他奶巧克力味,227.0,植物蛋白,69,畅销
维他奶,173.0,植物蛋白,62,正常
250ml维他奶低糖原味,86.6,植物蛋白,25,正常
怡宝纯净水,1070.5,水,531,畅销
怡宝,110.0,水,55,正常
雪力矿泉水,58.0,水,29,正常
康师傅矿泉水,26.2,水,19,正常
雪碧（500ml）,368.3,碳酸饮料,123,畅销
可口可乐（500ml）,308.0,碳酸饮料,101,畅销
雪碧最新款,227.5,碳酸饮料,78,畅销
600ml可口可乐,184.0,碳酸饮料,43,正常
雪碧330ml,178.5,碳酸饮料,67,正常
阿萨姆奶茶,1307.5,茶饮料,326,畅销
250ml维他柠檬茶,733.0,茶饮料,181,畅销
统一冰红茶,687.5,茶饮料,228,畅销
统一绿茶,468.5,茶饮料,151,畅销
王老吉（500ml）,432.5,茶饮料,108,畅销
