商品,实际金额,二级类,订单数量,标签
营养快线,1888.5,乳制品,435,畅销
伊利优酸乳,717.0,乳制品,258,畅销
250ml燕塘原味酸奶,683.5,乳制品,134,畅销
250ml燕塘甜牛奶,660.5,乳制品,129,畅销
250ml燕塘红枣牛奶,619.0,乳制品,129,畅销
脉动,3447.5,功能饮料,759,畅销
东鹏特饮,1936.0,功能饮料,525,畅销
红牛,1469.5,功能饮料,231,畅销
250ml红牛,903.5,功能饮料,119,畅销
600ml脉动青柠,211.5,功能饮料,41,正常
268ml雀巢咖啡丝滑拿铁,618.0,咖啡,95,畅销
雀巢咖啡,250.5,咖啡,30,正常
银鹭八宝粥,665.5,方便速食,166,畅销
果粒橙,1138.0,果蔬饮料,328,畅销
450ml美汁源果粒橙,289.5,果蔬饮料,61,正常
冰糖雪梨,180.0,果蔬饮料,59,正常
500ml农夫果园 (芒果+菠萝+番石榴),163.0,果蔬饮料,33,正常
美汁源果粒橙,119.5,果蔬饮料,26,正常
250ml维他原味豆奶,813.1,植物蛋白,217,畅销
维他奶,234.5,植物蛋白,79,正常
维他原味豆奶,196.0,植物蛋白,39,正常
250ml维他奶巧克力味,187.8,植物蛋白,53,正常
椰树牌椰汁,108.0,植物蛋白,24,正常
怡宝纯净水,2617.5,水,999,畅销
怡宝,546.0,水,182,畅销
康师傅矿泉水,30.099999999999998,水,24,正常
芬达330ml,880.5,碳酸饮料,271,畅销
雪碧最新款,791.5,碳酸饮料,259,畅销
可口可乐330ml,675.5,碳酸饮料,219,畅销
可口可乐最新款,376.5,碳酸饮料,125,畅销
雪碧（500ml）,289.0,碳酸饮料,82,畅销
阿萨姆奶茶,1963.5,茶饮料,456,畅销
王老吉（罐）,1516.5,茶饮料,402,畅销
统一冰红茶,1341.0,茶饮料,394,畅销
王老吉（500ml）,1109.5,茶饮料,238,畅销
250ml维他柠檬茶,1062.5,茶饮料,255,畅销
