商品,实际金额,二级类,订单数量,标签
营养快线,3532.5,乳制品,805,畅销
250ml燕塘原味酸奶,1132.0,乳制品,249,畅销
250ml燕塘甜牛奶,1021.0,乳制品,232,畅销
伊利优酸乳,1019.0,乳制品,375,畅销
250ml燕塘红枣牛奶,957.5,乳制品,206,畅销
脉动,4510.5,功能饮料,996,畅销
东鹏特饮,2615.0,功能饮料,709,畅销
红牛,1954.5,功能饮料,289,畅销
250ml红牛,1476.4,功能饮料,172,畅销
600ml脉动青柠,603.8,功能饮料,127,正常
268ml雀巢咖啡丝滑拿铁,1291.0,咖啡,197,畅销
雀巢咖啡,732.0,咖啡,97,正常
180ml雀巢咖啡罐装,121.5,咖啡,24,正常
银鹭八宝粥,919.0,方便速食,220,畅销
果粒橙,1743.0,果蔬饮料,470,畅销
450ml美汁源果粒橙,559.5,果蔬饮料,140,正常
冰糖雪梨,508.5,果蔬饮料,143,正常
500ml农夫果园 (芒果+菠萝+番石榴),299.5,果蔬饮料,63,正常
芦荟汁,259.0,果蔬饮料,44,正常
250ml维他原味豆奶,1296.0,植物蛋白,391,畅销
250ml维他奶巧克力味,438.8,植物蛋白,138,正常
维他奶,400.5,植物蛋白,132,正常
维他原味豆奶,367.5,植物蛋白,93,正常
椰树牌椰汁,250.5,植物蛋白,54,正常
怡宝纯净水,4619.5,水,1705,畅销
怡宝,80.0,水,37,正常
康师傅矿泉水,75.9,水,54,正常
雪力矿泉水,70.0,水,35,正常
芬达330ml,1233.0,碳酸饮料,382,畅销
雪碧最新款,990.5,碳酸饮料,309,畅销
可口可乐330ml,762.0,碳酸饮料,244,畅销
可口可乐（500ml）,740.0,碳酸饮料,202,畅销
雪碧（500ml）,628.6,碳酸饮料,172,畅销
阿萨姆奶茶,3485.5,茶饮料,792,畅销
统一冰红茶,2174.5,茶饮料,626,畅销
王老吉（500ml）,1880.0,茶饮料,417,畅销
统一绿茶,1716.0,茶饮料,490,畅销
王老吉（罐）,1579.0,茶饮料,410,畅销
