商品,实际金额,二级类,订单数量,标签
营养快线,1285.5,乳制品,319,畅销
250ml燕塘甜牛奶,379.0,乳制品,77,畅销
250ml燕塘原味酸奶,352.5,乳制品,72,畅销
100g*5瓶益力多,336.0,乳制品,25,正常
250ml燕塘红枣牛奶,299.5,乳制品,64,畅销
东鹏特饮,1443.5,功能饮料,411,畅销
脉动,1152.5,功能饮料,283,畅销
红牛,1083.0,功能饮料,180,畅销
250ml红牛,719.0,功能饮料,68,畅销
600ml脉动青柠,213.9,功能饮料,35,正常
268ml雀巢咖啡丝滑拿铁,338.5,咖啡,53,正常
雀巢咖啡,165.0,咖啡,24,正常
180ml雀巢咖啡罐装,157.5,咖啡,28,正常
银鹭八宝粥,333.5,方便速食,83,畅销
果粒橙,507.5,果蔬饮料,168,畅销
450ml美汁源果粒橙,110.0,果蔬饮料,25,正常
冰糖雪梨,55.5,果蔬饮料,16,正常
250ml维他原味豆奶,318.1,植物蛋白,96,畅销
维他奶,167.0,植物蛋白,56,正常
250ml维他奶巧克力味,115.0,植物蛋白,29,正常
维他原味豆奶,73.5,植物蛋白,18,正常
怡宝纯净水,777.5,水,387,畅销
雪碧最新款,533.5,碳酸饮料,178,畅销
可口可乐（500ml）,528.0,碳酸饮料,176,畅销
可口可乐最新款,432.5,碳酸饮料,144,畅销
雪碧（500ml）,396.5,碳酸饮料,132,畅销
美年达（罐）,244.0,碳酸饮料,83,畅销
阿萨姆奶茶,1461.5,茶饮料,365,畅销
统一冰红茶,930.5,茶饮料,309,畅销
王老吉（罐）,623.5,茶饮料,177,畅销
统一绿茶,571.0,茶饮料,188,畅销
250ml维他柠檬茶,455.0,茶饮料,109,畅销
